index,Unnamed: 0,id,carpark_id,max_carpark_full,current_carpark_full_total,calculated
45483,45483,2023-05-19T01:00:00-71,71,469,8,2023-05-19 01:00:00
45484,45484,2023-06-14T15:00:00-61,61,313,56,2023-06-14 15:00:00
45485,45485,2023-08-31T02:00:00-61,61,313,20,2023-08-31 02:00:00
45486,45486,2023-08-14T07:00:00-61,61,313,37,2023-08-14 07:00:00
45489,45489,2023-08-22T18:00:00-61,61,313,18,2023-08-22 18:00:00
45493,45493,2023-09-15T18:00:00-61,61,313,10,2023-09-15 18:00:00
45498,45498,2023-06-02T19:00:00-71,71,469,94,2023-06-02 19:00:00
45505,45505,2023-04-05T14:00:00-71,71,469,103,2023-04-05 14:00:00
45507,45507,2023-06-21T11:00:00-71,71,469,166,2023-06-21 11:00:00
45519,45519,2023-09-11T21:00:00-71,71,469,16,2023-09-11 21:00:00
45534,45534,2023-08-25T10:00:00-71,71,469,52,2023-08-25 10:00:00
45537,45537,2023-04-09T02:00:00-61,61,313,6,2023-04-09 02:00:00
45539,45539,2023-04-18T12:00:00-61,61,313,212,2023-04-18 12:00:00
45553,45553,2023-09-24T01:00:00-51,51,83,0,2023-09-24 01:00:00
45566,45566,2023-03-18T15:00:00-61,61,313,21,2023-03-18 15:00:00
45570,45570,2023-05-23T23:00:00-61,61,313,0,2023-05-23 23:00:00
45578,45578,2023-07-05T10:00:00-71,71,469,329,2023-07-05 10:00:00
45582,45582,2023-02-25T05:00:00-71,71,469,8,2023-02-25 05:00:00
45592,45592,2023-09-06T21:00:00-51,51,83,6,2023-09-06 21:00:00
45595,45595,2023-10-06T08:00:00-71,71,469,221,2023-10-06 08:00:00
45599,45599,2023-02-17T00:00:00-71,71,408,14,2023-02-17 00:00:00
45602,45602,2023-09-23T20:00:00-61,61,313,1,2023-09-23 20:00:00
45604,45604,2023-06-18T05:00:00-61,61,313,0,2023-06-18 05:00:00
45606,45606,2023-09-15T06:00:00-61,61,313,35,2023-09-15 06:00:00
45611,45611,2023-08-03T20:00:00-61,61,313,15,2023-08-03 20:00:00
45621,45621,2023-08-27T09:00:00-71,71,469,11,2023-08-27 09:00:00
45623,45623,2023-07-29T16:00:00-71,71,469,6,2023-07-29 16:00:00
45625,45625,2023-07-24T13:00:00-61,61,313,87,2023-07-24 13:00:00
45626,45626,2023-08-18T20:00:00-51,51,83,0,2023-08-18 20:00:00
45627,45627,2023-09-03T15:00:00-61,61,313,11,2023-09-03 15:00:00
45628,45628,2023-07-31T20:00:00-71,71,469,4,2023-07-31 20:00:00
45636,45636,2023-04-21T22:00:00-61,61,313,3,2023-04-21 22:00:00
45640,45640,2023-04-13T15:00:00-51,51,87,22,2023-04-13 15:00:00
45653,45653,2023-07-30T07:00:00-61,61,313,0,2023-07-30 07:00:00
45663,45663,2023-05-09T10:00:00-71,71,469,351,2023-05-09 10:00:00
45666,45666,2023-04-12T11:00:00-51,51,87,77,2023-04-12 11:00:00
45672,45672,2023-10-04T22:00:00-51,51,83,0,2023-10-04 22:00:00
45673,45673,2023-03-11T08:00:00-61,61,313,39,2023-03-11 08:00:00
45686,45686,2023-06-06T02:00:00-61,61,313,0,2023-06-06 02:00:00
45689,45689,2023-04-15T12:00:00-71,71,469,32,2023-04-15 12:00:00
45690,45690,2023-04-30T15:00:00-51,51,87,4,2023-04-30 15:00:00
45691,45691,2023-03-31T04:00:00-51,51,87,0,2023-03-31 04:00:00
45697,45697,2023-09-24T12:00:00-61,61,313,0,2023-09-24 12:00:00
45703,45703,2023-07-01T08:00:00-61,61,313,23,2023-07-01 08:00:00
45705,45705,2023-09-07T20:00:00-71,71,469,16,2023-09-07 20:00:00
45711,45711,2023-06-14T19:00:00-51,51,83,3,2023-06-14 19:00:00
45713,45713,2023-03-08T12:00:00-71,71,469,298,2023-03-08 12:00:00
45721,45721,2023-09-12T02:00:00-51,51,83,7,2023-09-12 02:00:00
45722,45722,2023-04-03T04:00:00-51,51,87,2,2023-04-03 04:00:00
45727,45727,2023-06-28T03:00:00-71,71,469,25,2023-06-28 03:00:00
45756,45756,2023-06-25T07:00:00-61,61,313,5,2023-06-25 07:00:00
45759,45759,2023-03-11T15:00:00-51,51,87,17,2023-03-11 15:00:00
45765,45765,2023-03-14T19:00:00-51,51,87,4,2023-03-14 19:00:00
45766,45766,2023-03-09T05:00:00-71,71,469,59,2023-03-09 05:00:00
45770,45770,2023-09-21T01:00:00-61,61,313,8,2023-09-21 01:00:00
45771,45771,2023-07-24T07:00:00-71,71,469,235,2023-07-24 07:00:00
45774,45774,2023-09-21T15:00:00-71,71,469,64,2023-09-21 15:00:00
45780,45780,2023-02-02T05:00:00-61,61,313,30,2023-02-02 05:00:00
45790,45790,2023-09-27T06:00:00-61,61,313,88,2023-09-27 06:00:00
45791,45791,2023-03-12T00:00:00-51,51,87,2,2023-03-12 00:00:00
45792,45792,2023-05-22T02:00:00-71,71,469,31,2023-05-22 02:00:00
45795,45795,2023-06-27T10:00:00-51,51,83,73,2023-06-27 10:00:00
45798,45798,2023-05-09T00:00:00-61,61,313,14,2023-05-09 00:00:00
45805,45805,2023-06-26T01:00:00-71,71,469,20,2023-06-26 01:00:00
45807,45807,2023-09-12T23:00:00-61,61,313,0,2023-09-12 23:00:00
45809,45809,2023-05-17T12:00:00-71,71,469,230,2023-05-17 12:00:00
45812,45812,2023-05-25T18:00:00-61,61,313,38,2023-05-25 18:00:00
45829,45829,2023-04-22T08:00:00-71,71,469,121,2023-04-22 08:00:00
45831,45831,2023-09-01T15:00:00-51,51,83,11,2023-09-01 15:00:00
45833,45833,2023-04-10T05:00:00-51,51,87,1,2023-04-10 05:00:00
45846,45846,2023-05-09T09:00:00-61,61,313,218,2023-05-09 09:00:00
45848,45848,2023-02-16T19:00:00-51,51,87,0,2023-02-16 19:00:00
45852,45852,2023-08-09T17:00:00-71,71,469,13,2023-08-09 17:00:00
45855,45855,2023-06-23T12:00:00-71,71,469,237,2023-06-23 12:00:00
45862,45862,2023-08-03T16:00:00-51,51,83,6,2023-08-03 16:00:00
45875,45875,2023-07-02T16:00:00-61,61,313,0,2023-07-02 16:00:00
45882,45882,2023-07-19T01:00:00-61,61,313,32,2023-07-19 01:00:00
45894,45894,2023-07-30T20:00:00-71,71,469,6,2023-07-30 20:00:00
45901,45901,2023-08-05T13:00:00-71,71,469,21,2023-08-05 13:00:00
